total: 146  failures: 0

recall	src_chars	pg_chars	src_imgs	total	dom_imgs	slug	name	status
1.0000	0	48	13	13	13	sa2ifbnci5hcb5vh	176.RAG检索增强生成.pdf	img
1.0000	0	49	14	14	13	dxy9nztkpy5lwmnw	252.AI大模型思维链原理.pdf	img
1.0000	0	49	15	15	15	egwdleuufk2sqx1e	235.17种RAG优化策略.pdf	img
1.0000	0	54	15	15	15	eogdglqhd2lgca9g	209.RAG技术的三大范式和技术演进.pdf	img
1.0000	0	61	20	20	20	eyr0nqhftgv7y2tg	281.从传统RAG到Agentic RAG的进阶优化.pdf	img
1.0000	0	54	15	15	15	mtzwos32eywx2xx3	248.多模态算法BLIP模型深度解析.pdf	img
1.0000	0	51	20	20	19	nbwig4qsg27oe70s	280.Rerank模型深度讲解.pdf	img
1.0000	0	53	20	20	19	neawnny9hgo6rqx2	274.BERT核心原理及预训练机制.pdf	img
1.0000	0	52	20	20	20	ddrg0wcfk6la6kaw	273.向量化和词嵌入的区别是什么.pdf	img
1.0000	0	50	20	20	20	dwqg5eumz757eitv	205.Coze工作流和触发器.pdf	img
1.0000	0	46	15	15	15	rgx7n0yx392lgy2f	229.知识图谱是什么.pdf	img
1.0000	0	57	20	20	20	zht4k4ig6kyx3tpy	277.LangChain 1.0应该要怎么用.pdf	img
1.0000	0	53	20	20	19	vkwx7yzg1vmka5ls	283.DeepSeek-R1微调实战.pdf	img
1.0000	0	56	14	14	14	wdyo9me67iy6bpc1	188.LangGraph工作流与人机交互.pdf	img
1.0000	0	56	20	20	19	wg3cex8o6749nimo	284.Agent Skill 原理和实践指南.pdf	img
1.0000	0	56	13	13	12	wgnslgmvae8aard3	216.DeepSpeed大模型分布式框架.pdf	img
1.0000	0	51	12	12	11	bf4c7249vgr3sce8	177.深度解析RAG与模型微调.pdf	img
1.0000	0	51	15	15	15	bgqducozefyd9us1	217.深度学习模型工作原理详解.pdf	img
1.0000	0	52	20	20	19	bi5e61vhfg9m5i2r	261.Gemini 3.0模型测评.pdf	img
1.0000	0	54	20	20	20	bw9fm1b6uw2ime9e	263.多模态融合技术前沿进展深度解析.pdf	img
1.0000	0	49	15	15	15	bwgnaty22c2dlq5t	242.知识图谱的构建和应用.pdf	img
1.0000	0	52	14	14	14	bzyfgwlngdwu40qg	189.LangGraph子图可控性.pdf	img
1.0000	201	246	8	2	8	fxqsgmfl5ignq3kq	大模型激活函数面试题.pdf	ok
1.0000	0	50	15	15	15	gesb0gxdbielqug3	194.AI大模型幻觉深度解析.pdf	img
1.0000	0	48	16	16	16	gfuzpqgx3u12agf2	208.MCP最佳落地实践.pdf	img
1.0000	0	47	20	20	20	gh5z85eq4s1y88nx	266.知识图谱全景导读.pdf	img
1.0000	1100	1145	0	2	0	kbhx2wt9bydh7pvr	大模型训练经验面试题.pdf	ok
1.0000	0	50	12	12	12	kcc6o1h91dz4x05s	190.MCP 三种通信机制对比.pdf	img
1.0000	0	51	14	14	14	kceraza9xo5m5nr2	186.RAG系统的高级优化工程.pdf	img
1.0000	0	50	15	15	14	khohvgo7sw7crnoh	226.Al Agent项目实战.pdf	img
1.0000	0	51	15	15	15	kxx2eser5dxpmx98	257.AI大模型推理与训练详解.pdf	img
1.0000	0	63	15	15	14	lk8wfumtm6x19byk	192.Llamalndex构建基于行业数据的LLM应用.pdf	img
1.0000	0	51	15	15	14	tcdi1k204nc2tecc	203.Agents 最佳实践指南.pdf	img
1.0000	0	57	14	14	14	toigcb3d7x7bmgwi	187.LangChain 快速入门与底层原理.pdf	img
1.0000	0	55	15	15	15	tt2frr2a329gqzwk	210.Vibe Coding 从入门到实践.pdf	img
1.0000	0	50	15	15	15	tt2pgbpy5wuckd4h	213.如何微调训练电商大模型.pdf	img
1.0000	0	53	15	15	15	tunb7tmgrmqhb7un	237.Al Agent核心概念和模块.pdf	img
1.0000	0	51	20	20	20	tvgkcr56nzg358k0	276.多头自注意力机制深度解析.pdf	img
1.0000	0	63	15	15	15	pbrl0pqfqbwbahr2	204.为什么说Al大模型微调中最不需要关注的就是GPU.pdf	img
1.0000	0	53	15	15	15	pg5y7wrb3u3hm5aa	214.借助大模型API自动处理任务.pdf	img
1.0000	0	48	15	15	15	pz9707onngiq5383	175.大模型应用架构解析.pdf	img
1.0000	0	56	15	15	15	xqk41iqbz95muab5	228.LangChain应用框架实践教程.pdf	img
1.0000	0	49	19	19	19	xy63l71g3zkbmt1e	206.Coze知识库和记忆.pdf	img
1.0000	0	53	15	15	15	decb9y9h1hngak28	222.用Al优化Excel工作流程.pdf	img
1.0000	0	46	12	12	12	dsp6658yxgmvw5r0	179.AI大模型微调.pdf	img
1.0000	0	54	16	16	15	dtggg4mpwebqtpkr	230.MCP一键生成可视化Excel.pdf	img
1.0000	0	53	20	20	20	gn8b8bg5h0k1qqbk	270.AIGC与生成式AI全景拆解.pdf	img
1.0000	0	54	16	16	15	go81h6yttlggrlks	219.基于Dify的RAG问答工作流.pdf	img
1.0000	0	46	20	20	20	gooksnxdyplqi14g	272.模型蒸馏是什么.pdf	img
1.0000	0	49	14	14	14	gpeozqvpchgnwt76	178.AI Agent 智能体.pdf	img
1.0000	354035	600160	11258	211	11258	gq5n7l8nlgx4m08r	AI大模型公司项目落地实战.pdf	ok
1.0000	0	55	19	19	19	guz3lyyauv8qezws	260.如何微调BERT模型进行文本分类.pdf	img
1.0000	0	48	14	14	14	gw20652xyiqyip2z	245.MoE架构深度拆解.pdf	img
1.0000	0	58	16	16	16	hy0h50n3hhiw69zn	211.深入理解Transformer技术原理.pdf	img
1.0000	0	48	14	14	14	iihzheb5eb9fmmx0	238.混合专家模型MoE.pdf	img
1.0000	0	57	14	14	14	ikhyeg86skawbb42	185.深入理解检索增强生成(RAG)的工作机制.pdf	img
1.0000	0	51	20	20	20	imgoyhfed449csto	275.神经网络工作原理深度解析.pdf	img
1.0000	0	47	14	14	13	ohvpodyb32d5cggy	200.大模型思维链原理.pdf	img
1.0000	0	61	20	20	20	amnkbreuehdhp92m	265.提示词工程Prompt Engineering.pdf	img
1.0000	0	51	13	13	13	apcoilfp18kn26bm	181.RAG检索优化与实践指南.pdf	img
1.0000	0	49	16	16	16	lv2zzg1475b5eg7e	278.多智能体架构深度解析.pdf	img
1.0000	0	59	15	15	14	mb85i3phga07ccw0	253.多模态Vision Transformer.pdf	img
1.0000	0	53	19	19	19	mht9vpeehvqfhlhc	239.从0开始写一个AI Agent.pdf	img
1.0000	0	60	12	12	12	ssxh80kiytq2w9dn	199.模型微调数据集创建工具Easy dataset.pdf	img
1.0000	4131	4153	3	5	3	sw8kcvhv7srici10	Graph RAG面试题.pdf	ok
1.0000	0	47	14	14	14	uiv5b4715gh7cb1z	268.知识图谱嵌入技术.pdf	img
1.0000	0	58	14	14	13	uoose19iw02kwmh2	191.Llamalndex框架入门与实践指南.pdf	img
1.0000	0	46	15	15	14	ve67nb9v8a1mp6k7	234.如何评估RAG.pdf	img
1.0000	0	52	20	20	20	qebqin2a5egawuqu	267.AI大模型企业落地实战指南.pdf	img
1.0000	0	48	16	16	15	qkq71ffzawg7qpdv	236.多模态模型CLIP.pdf	img
1.0000	0	48	17	17	16	qtm4y2es93g6fdty	241.RAG十种优化技巧.pdf	img
1.0000	0	50	15	15	15	qyc9sz8kto600tu6	255.AI大模型预训练与微调.pdf	img
1.0000	0	48	15	15	14	qzgka3e44d6fccor	218.卷积神经网络CNN.pdf	img
1.0000	0	50	14	14	14	re3cg1bckhxzrwc4	212.如何实现一个RAG架构.pdf	img
1.0000	0	59	19	19	19	fggwhkceyozgsz81	207.零代码搭建Excel数据分析可视化小助手.pdf	img
1.0000	813	859	7	3	7	fgwtn7wv8f9z4wgk	深度学习层归一化面试题.pdf	ok
1.0000	11	60	12	12	11	fi5eyf1xgyb7dnil	182.RAG和微调的应用场景.pdf	img
1.0000	0	49	20	20	20	fkgxzh8w1nu011e7	279.17种RAG优化策略.pdf	img
1.0000	0	51	15	15	15	wocg4bz4s1wtrxgi	220.多Agent应用最佳实践.pdf	img
1.0000	0	54	12	12	12	wwd3ecgwtrqaflvn	180.深度解析Agent两大认知框架.pdf	img
1.0000	2171	2227	0	2	0	yxivtaeb3cduskrx	分布式训练之PyTorch多进程模块面试题.pdf	ok
1.0000	0	55	15	15	15	zc3iu39zat5xr9fz	225.基于Docker本地部署Coze.pdf	img
1.0000	0	57	20	20	20	zg8urb7x0zk773og	271.零基础速通AI大模型应用开发学习路线.pdf	img
1.0000	0	61	15	15	14	ns23rx0vgu7wwp36	240.Transformer中的前馈神经网络(FFN).pdf	img
1.0000	0	61	15	15	15	nzp5eqabv6gcy6q1	246.基于LangGraph搭建一个Agent应用.pdf	img
